k,n_pos_per_rebal,sharpe_full,sharpe_long,sharpe_test,ann_full,mdd_full
1,22,0.5643970591458248,0.5312831295152757,0.37831714107447373,1.2062217979414274,-0.4559765371696688
2,44,0.8013178040581997,0.7534530696636736,0.6041746080461583,0.9199046253971273,-0.4664652152011082
3,66,0.917993542671605,0.8220821839626239,0.6995206717319624,0.7510739980387491,-0.42336499083958534
4,88,0.9824900284745677,0.8483502136388126,0.7301770462746224,0.6712828537790603,-0.3807533598258357
5,110,1.0062425980898575,0.8914256075725526,0.8565875510981467,0.5904683004480282,-0.34640860348410774
6,132,1.0917441032353703,0.946479803250106,0.8671720705135074,0.5682590009071744,-0.33479752940937213
7,154,1.111624686912549,0.9699141936047365,0.9181951884426626,0.5222879205662778,-0.3303427816679748
8,176,1.1459615284297506,0.9614489564451894,0.9145818010536646,0.4980013321086596,-0.341335040000071
9,198,1.1429907236178942,0.944226085207775,0.9069098462789894,0.4668537816640097,-0.34990285228377815
10,220,1.161334890782304,0.9716203760530194,0.9168442707321225,0.45217230217011606,-0.335690186492124
11,242,1.1577652848881836,0.959844902686158,0.9363754133785638,0.42824460294836,-0.32016772426594564
12,264,1.1642789599012788,0.9810536842291823,0.968818718561245,0.41395311716308947,-0.32396451553008376
13,286,1.163389345152661,0.98148861528949,0.9487716939238174,0.3995922645014025,-0.327391526165579
14,308,1.1736373755899778,0.9880563167463404,0.957539190037141,0.3928926170700231,-0.33346651620925294
15,330,1.1589541768937355,0.9726886092509606,0.9278132769349153,0.3796494753759738,-0.3288613936954351
16,352,1.1740510268263344,0.993444391059419,0.9497337516585361,0.3807910718992349,-0.3343019162271127
17,374,1.167519299481603,0.9867260408719793,0.9382492953116105,0.37007208624228016,-0.3307181710786694
18,396,1.1687578598672967,0.9875713055641084,0.9440120354910515,0.3624329810940552,-0.3324092221109156
19,418,1.1551319321676068,0.9758565406190399,0.9419779851529444,0.3543458821641059,-0.33708300244117195
20,440,1.1531818030683627,0.9785767135693445,0.9346121577159183,0.34727264551824644,-0.338103770570263
21,462,1.142825427998858,0.9709570402832126,0.936239906259798,0.34174838519788286,-0.342102994797284
22,484,1.1368485991985593,0.9733113840142881,0.9317801263227656,0.33468717647680024,-0.3405589407804317
23,506,1.1195406634280676,0.9573060211416446,0.9085318807505419,0.3261612183334397,-0.34511095798465274
24,528,1.1072039207058957,0.9466359740082232,0.8976982835057729,0.319075495988973,-0.3467164234687602
25,550,1.1066890277782042,0.9466661758794046,0.8942815934020827,0.3154750254177494,-0.34333847424117603
26,572,1.0967636763608442,0.9410006393325167,0.8920469421371731,0.30966055048784735,-0.34393171161263314
27,594,1.0859245839232268,0.9209330702619895,0.867704897685794,0.30385142811307486,-0.3459946897478836
28,616,1.0811241060168464,0.9113467775073496,0.8633550139668024,0.29879989609449464,-0.3461211728627006
29,638,1.0728506093666468,0.9057987485458687,0.8567417309864819,0.2938287100541541,-0.3438644787073807
30,660,1.0737497359831796,0.9119976564537754,0.8678110179210267,0.2923244692827356,-0.34431518777823644
35,770,1.037859992476652,0.8920826215406676,0.8538436667989576,0.2717104332536251,-0.3417999888201133
40,880,0.9954286892193192,0.847029841981467,0.8101895169973768,0.25281334750090334,-0.3441576449734536
45,990,0.964101088646534,0.813299691778329,0.7750891313473676,0.2393676608721369,-0.3445535855218367
50,1100,0.9270128148855876,0.7759951070903846,0.7357690295780971,0.2249833646797479,-0.34831408900208805
60,1320,0.8772053581704012,0.7333117098226468,0.7012125879038281,0.20487145428706222,-0.3497924430170465
75,1620,0.8322055832768764,0.6869514793615515,0.6579197117723563,0.18713505470150604,-0.35468593323915676
100,2120,0.7806068258798251,0.6385881180606338,0.6207605760303098,0.16638388093496825,-0.3561180801517545
