month_end,regime_gmm2,regime_gmm3,regime_hmm2,regime_hmm3,regime_final,rv_21d,rv_63d,vix,yield_curve_slope,credit_spread,sp500_ret_3m
2005-01-31,calm,calm,calm,calm,calm,0.0936193544762643,0.0969347356011654,13.239999771118164,0.9999999999999996,0.6699999999999999,0.0389555508300789
2005-02-28,calm,calm,calm,normal,calm,0.1020125672471309,0.097974697990523,11.489999771118164,0.79,0.6099999999999994,0.0250558363008366
2005-03-31,calm,calm,calm,calm,calm,0.1030788595453671,0.100997133181378,13.640000343322754,0.77,0.7299999999999995,-0.0264762627095798
2005-04-30,calm,calm,calm,normal,calm,0.1435276988842938,0.1183869839679542,16.860000610351562,0.69,0.7400000000000002,-0.0266741107850267
2005-05-31,calm,calm,calm,calm,calm,0.1036756580772265,0.1193770357788618,12.149999618530272,0.4999999999999995,0.8900000000000006,-0.0040046081645324
2005-06-30,calm,calm,calm,normal,calm,0.0784957692667122,0.1135182870220351,11.770000457763672,0.3599999999999999,0.9000000000000004,0.0163138857039517
2005-07-31,calm,calm,calm,calm,calm,0.0858536065640429,0.0905121065886014,10.520000457763672,0.3099999999999996,0.8700000000000001,0.0879095909584124
2005-08-31,calm,calm,calm,normal,calm,0.0852849512501733,0.0833890099840328,13.649999618530272,0.2199999999999997,0.8700000000000001,0.0051488609633911
2005-09-30,calm,calm,calm,calm,calm,0.0966686210914736,0.0899036543551695,12.239999771118164,0.25,0.91,0.030512199807877
2005-10-31,calm,calm,calm,normal,calm,0.1479520644954793,0.1123288210893628,14.25,0.1900000000000004,0.9699999999999998,-0.0299024099536886
2005-11-30,calm,calm,calm,calm,calm,0.0743000635800029,0.1111911779676138,11.890000343322754,0.1200000000000001,0.9900000000000002,0.0406070331271064
2005-12-31,calm,calm,calm,normal,calm,0.0751907886790723,0.1058194102122739,11.609999656677246,0.0699999999999994,0.9500000000000002,0.0217809112020248
2006-01-31,calm,calm,calm,calm,calm,0.1106213190253809,0.093094882669308,12.390000343322754,0.0199999999999995,0.92,0.0901602466629991
2006-02-28,calm,calm,calm,normal,calm,0.0872707439306221,0.0914472821607009,11.59000015258789,-0.0999999999999996,0.9000000000000004,0.0225266947129099
2006-03-31,calm,calm,calm,calm,calm,0.0756974627481935,0.0938026828668018,11.56999969482422,-0.0100000000000006,0.8899999999999997,0.0334453647638399
2006-04-30,calm,calm,calm,normal,calm,0.0909228192699158,0.0865366010230996,11.84000015258789,0.1000000000000005,0.7999999999999998,0.0281748866698003
2006-05-31,calm,normal,calm,calm,calm,0.1240328614097223,0.0991860814747611,18.65999984741211,0.1400000000000005,0.8300000000000001,-0.0162338470067248
2006-06-30,calm,calm,calm,normal,calm,0.1620508232622481,0.1281810525463002,13.029999732971191,-0.0099999999999997,0.9299999999999996,-0.0210574926997212
2006-07-31,calm,calm,calm,calm,calm,0.1533930521854002,0.1408217815756274,14.329999923706056,-0.0300000000000002,0.8799999999999999,-0.0244618436314123
2006-08-31,calm,calm,calm,normal,calm,0.0714968868950971,0.1248894779593854,12.220000267028809,-0.0200000000000004,0.9299999999999996,0.0152911891305189
2006-09-30,calm,calm,calm,calm,calm,0.0778643530502451,0.0983267943080303,11.720000267028809,-0.0499999999999998,0.9400000000000004,0.0518591922339624
2006-10-31,calm,calm,calm,normal,calm,0.0711772182375401,0.0727508428223612,11.199999809265137,-0.0699999999999994,0.8600000000000003,0.0841988528510686
2006-11-30,calm,calm,calm,calm,calm,0.0854218243887242,0.0775544418888693,10.829999923706056,-0.1400000000000005,0.8899999999999997,0.072094490989977
2006-12-31,calm,calm,calm,normal,calm,0.0696831786681154,0.073208243256081,10.989999771118164,-0.1100000000000003,0.8999999999999995,0.0641207391796485
2007-01-31,calm,calm,calm,calm,calm,0.0736218048720469,0.075825260161283,10.960000038146973,-0.1200000000000001,0.91,0.0286088572951883
2007-02-28,calm,calm,calm,normal,calm,0.139896609746771,0.1026236228785138,18.309999465942383,-0.1299999999999999,0.8899999999999997,-0.0050138518367846
2007-03-31,calm,calm,calm,calm,calm,0.1411496564002925,0.121441105233992,15.140000343322754,-0.0100000000000006,0.9699999999999998,0.0039734665719557
2007-04-30,calm,calm,calm,normal,calm,0.0708023760956775,0.1220007582782795,12.449999809265137,0.0200000000000004,0.92,0.0505490794857799
2007-05-31,calm,calm,calm,calm,calm,0.0904428910530577,0.1057351060887838,12.829999923706056,-0.0199999999999995,0.9300000000000006,0.0877226929467562
2007-06-30,calm,calm,calm,normal,calm,0.1358029318183198,0.1047696890739718,15.539999961853027,0.1199999999999992,0.8999999999999995,0.058473234256952
2007-07-31,calm,normal,calm,calm,calm,0.1690171087656994,0.1346660806302003,20.8700008392334,0.1799999999999997,1.0499999999999998,-0.0057070508478763
2007-08-31,calm,normal,crisis,normal,crisis,0.2504492173264581,0.1902042748283968,25.059999465942383,0.3600000000000003,0.8200000000000003,-0.0512256095153093
2007-09-30,calm,normal,crisis,normal,crisis,0.1678760079855154,0.1958776043446221,17.0,0.5099999999999998,0.8300000000000001,0.0170484652497946
2007-10-31,calm,normal,crisis,calm,crisis,0.131435625958233,0.1855539266813469,21.06999969482422,0.56,0.8499999999999996,0.0444873198646627
2007-11-30,calm,normal,crisis,normal,crisis,0.2669661018428791,0.193963971520496,23.969999313354492,0.8100000000000005,1.1100000000000003,0.0082873383917092
2007-12-31,calm,normal,crisis,calm,crisis,0.1728712192565042,0.197981140265548,20.739999771118164,0.9799999999999996,1.1399999999999997,-0.0316096346917471
2008-01-31,calm,normal,crisis,normal,crisis,0.2325993135821434,0.2257857885614033,27.6200008392334,1.2600000000000002,1.25,-0.1201637426974705
2008-02-29,calm,normal,crisis,calm,crisis,0.1885628138399286,0.2074481392172121,23.530000686645508,1.7700000000000002,1.33,-0.0423950817346235
2008-03-31,calm,normal,crisis,normal,crisis,0.2955633776820482,0.2415490574417367,25.709999084472656,1.8899999999999997,1.4200000000000008,-0.1218167403235076
2008-04-30,calm,normal,crisis,calm,crisis,0.1849796200659627,0.2267218771675936,20.239999771118164,1.6300000000000003,1.3499999999999996,0.0210231898639081
2008-05-31,calm,normal,crisis,normal,crisis,0.1444960157503644,0.2160255812446421,18.13999938964844,1.4299999999999995,1.3899999999999997,0.0223589983430076
2008-06-30,calm,normal,crisis,calm,crisis,0.1977263433301366,0.1798883870347465,23.440000534057617,1.3299999999999996,1.42,-0.033507180710029
2008-07-31,calm,normal,crisis,normal,crisis,0.2325478280481233,0.1947510514177956,21.209999084472656,1.44,1.4800000000000004,-0.0731312715552879
2008-08-31,calm,normal,crisis,calm,crisis,0.2071285814406498,0.2124366362935319,19.43000030517578,1.4700000000000002,1.5700000000000005,-0.0711949262516199
2008-09-30,crisis,crisis,crisis,crisis,crisis,0.511212838247316,0.3454191561775656,46.720001220703125,1.61,1.8600000000000003,-0.1356093406677245
2008-10-31,crisis,crisis,crisis,crisis,crisis,0.8340729267246552,0.5836697689127452,62.900001525878906,2.2,3.05,-0.2429719811011907
2008-11-30,crisis,crisis,crisis,crisis,crisis,0.6843978613437459,0.6868933149441507,54.91999816894531,2.32,3.330000000000001,-0.3175262508691789
2008-12-31,crisis,crisis,crisis,crisis,crisis,0.5072315698633634,0.6776739315042535,41.630001068115234,1.6,3.33,-0.2363935441595399
2009-01-31,crisis,crisis,crisis,crisis,crisis,0.394116859306089,0.5313008850497051,42.630001068115234,1.71,2.959999999999999,-0.1014024243516065
2009-02-28,crisis,crisis,crisis,crisis,crisis,0.3839965909846082,0.4201294227679623,44.65999984741211,1.89,2.8500000000000005,-0.1161995993853564
2009-03-31,crisis,crisis,crisis,crisis,crisis,0.4958638428201031,0.4163333312294473,45.540000915527344,1.8899999999999997,3.0500000000000007,-0.0976970207248904
2009-04-30,crisis,crisis,crisis,crisis,crisis,0.3011808937607159,0.3995611849660739,36.08000183105469,2.0,2.829999999999999,-0.0005148350778582
2009-05-31,crisis,normal,crisis,crisis,crisis,0.284645117584525,0.369597062162207,31.670000076293945,2.36,2.3000000000000007,0.2045614501335981
2009-06-30,crisis,normal,crisis,calm,crisis,0.2074090676342748,0.2630594590376885,25.350000381469727,2.54,1.83,0.1773899990792762
2009-07-31,crisis,normal,crisis,normal,crisis,0.2102482462364097,0.2326541422161874,25.399999618530273,2.54,1.4699999999999998,0.1305438786907997
2009-08-31,calm,normal,crisis,calm,crisis,0.1599422760642615,0.1867550331069981,24.760000228881836,2.47,1.29,0.0912745755400283
2009-09-30,calm,normal,crisis,normal,crisis,0.1556189170288093,0.1746188449290833,25.190000534057617,2.44,1.13,0.1536896585538083
2009-10-31,calm,normal,calm,calm,calm,0.1980183066797398,0.1700243025090161,24.760000228881836,2.4400000000000004,1.12,0.0796269356726475
2009-11-30,calm,normal,calm,normal,calm,0.2001114978707073,0.1782720901383661,24.739999771118164,2.5999999999999996,1.17,0.0608009614432087
2009-12-31,calm,normal,calm,calm,calm,0.1001049698967346,0.1647713796929662,19.959999084472656,2.72,1.0600000000000005,0.0655958780539376
2010-01-31,calm,normal,calm,normal,calm,0.1564435570694409,0.1628001086509126,23.729999542236328,2.8,0.9500000000000002,0.0198606317773553
2010-02-28,calm,calm,calm,calm,calm,0.1826573960032812,0.151801383602792,20.100000381469727,2.83,1.0200000000000005,-0.002983121978284
2010-03-31,calm,normal,calm,normal,calm,0.0705495685399944,0.1439411142502006,17.1299991607666,2.77,0.9900000000000002,0.0403358714045825
2010-04-30,calm,calm,calm,calm,calm,0.1375356191501236,0.134715876116619,18.440000534057617,2.79,0.9399999999999996,0.112721636743666
2010-05-31,calm,normal,crisis,normal,crisis,0.3199014561361727,0.205556215240189,29.68000030517578,2.59,1.1900000000000004,-0.0012946533271175
2010-06-30,calm,normal,crisis,calm,crisis,0.2614675848648197,0.2488027209255288,34.130001068115234,2.4800000000000004,1.38,-0.1125316654299444
