k,n_pos_per_rebal,sharpe_full,ci5_full,ci95_full,alpha_full_pct_yr,alpha_t_full,sharpe_long,ci5_long,ci95_long,alpha_long_pct_yr,alpha_t_long,sharpe_test,alpha_test_pct_yr,alpha_t_test
10,220,1.1311276070111311,0.8283746134349931,1.5721848761998787,47.11300517517657,4.587218682827702,0.9959631327498054,0.63195673848513,1.4245990759723535,44.076239664285765,3.4869871084369457,0.9168442707321225,53.036482945823906,2.9074506680602714
11,242,1.131104007838405,0.8114725854585869,1.5839239474408275,44.78178299294583,4.49359752435822,0.9881174658206803,0.6092472903961977,1.4182647531258188,41.56976442477778,3.38599270984107,0.9363754133785638,51.03691192585848,2.8543330254636112
12,264,1.1388710015905485,0.8062874065271308,1.5916150622659722,42.93639616532503,4.476988650079016,1.005897629545433,0.5997324421692093,1.4320945595802816,40.32428062503083,3.3957359747223945,0.968818718561245,49.70991304137334,2.8698070423317175
13,286,1.1395026921700924,0.8023579737946634,1.600973918176428,41.45546181322782,4.497570052892063,1.006322287855051,0.5990924678853959,1.4471317474051641,39.031442608150144,3.40094572740763,0.9487716939238174,47.36720621283992,2.8241154508548836
14,308,1.1488582298034917,0.7991313200184039,1.6166293746528426,40.469500964436136,4.5339373960528695,1.0123025531304242,0.5965448467495003,1.4589817508764293,38.14450590668731,3.427262789471457,0.957539190037141,46.11316312067947,2.835966528175071
15,330,1.138638298298716,0.7904706399621055,1.6063315645717096,39.345125698731856,4.528103474330358,1.000532437017422,0.5864781692920562,1.4532260605545626,37.054356172438766,3.422422165134577,0.9278132769349153,44.250629264950646,2.7870114396906396
16,352,1.1504886923829407,0.7926875628632974,1.617855973832096,39.36709738439116,4.468939982516035,1.0165111246411347,0.5969191384677474,1.4844946224650628,37.38458379665631,3.4043710934822453,0.9497337516585361,44.74901095054569,2.7747967417194594
17,374,1.1463397994339366,0.7774908879876304,1.6187009867549813,38.34293977653556,4.428188810002272,1.0113725179943973,0.5839768262008765,1.4898665008253678,36.3400124468077,3.3721289431662713,0.9382492953116105,43.479142333441885,2.754686634584699
18,396,1.1486334690684183,0.7680617724584134,1.6213504940028054,37.6821094195449,4.441112438572611,1.0127161531204347,0.5774696129085918,1.4871064457420942,35.753197437671396,3.385245513419317,0.9440120354910515,42.87932998533015,2.7696295225750394
19,418,1.1391922820934173,0.7538763266952113,1.6198071607812445,36.81229189796969,4.344206508025816,1.004309242957654,0.5628540193444619,1.485690837746549,34.93887968416942,3.3094005673618097,0.9419779851529444,42.10161289364617,2.7220746642912865
20,440,1.1384629317035906,0.7477778546818641,1.6245808997585636,36.021242551921866,4.3802508864794785,1.0066425808264319,0.5594563843601197,1.498077787840667,34.26280151521366,3.3392673153001464,0.9346121577159183,40.969137228081166,2.725612250149384
