cost_bps,sharpe,return_pct_yr,cost_drag_pct_yr
0,1.2008964050258981,37.351936612619,0.0
2,1.1866378624493066,36.77456572288354,0.4308807556080284
5,1.1652492569372315,35.91267026458358,1.0772018890200707
8,1.143859739299068,35.05574464069341,1.7235230224321136
10,1.1295995751675687,34.487209062661165,2.1544037780401415
12,1.1153390371943959,33.92086306334225,2.58528453364817
15,1.0939475568904578,33.07543279355778,3.2316056670602125
18,1.0725553064410698,32.23488614357643,3.8779268004722547
20,1.0582933993224335,31.677222184849562,4.308807556080283
25,1.0226372997175572,30.292458898445762,5.386009445100354
30,0.9869794553619651,28.921025524090794,6.463211334120425
35,0.9513200635684077,27.56280557290658,7.540413223140496
40,0.9156593216707912,26.217683470973576,8.617615112160566
50,0.8443345769720293,23.566275055736586,10.772018890200709
60,0.7730068001525717,20.965893744737187,12.92642266824085
75,0.6660129034422436,17.15904953901328,16.158028335301065
100,0.48769694535510794,11.057002943634608,21.544037780401418
